categoria,percentagem
Open Source,0.464
Mobile,0.232
Java,22.274
Software Engineering,3.712
Internet,9.513
Web Development,3.944
Miscellaneous,0.464
Microsoft .NET,7.889
Microsoft,1.856
Next Generation Databases,0.232
PowerBuilder,1.624
Client-Server,2.552
Computer Graphics,1.392
Object-Oriented Programming,0.928
S,0.232
Networking,1.624
Theory,1.624
Programming,2.784
Python,1.392
Mobile Technology,1.392
Business,2.784
P,0.232
XML,0.928
Perl,1.392
java,0.232
Microsoft/.NET,0.232
Miscella,0.232
Object-Technology Programming,0.232
,0.464
internet,0.232
.NET,0.232
Algorithmic Art,0.232
PHP,0.232
SOA,0.232
Computer Graph,0.232
Client Server,0.232
In Action,0.232
Software Development,0.232
